"","x"
"Actinobacillus",2.063530452
"Actinomyces",56.366301053
"Atopobium",5.274633807
"Bulleidia",1.156257981
"Campylobacter",1.809720361
"Capnocytophaga",8.669168529
"Catonella",0.330333149
"Fusobacterium",10.653093683
"Gemella",22.146069913
"Granulicatella",177.443205887
"Haemophilus",1759.191579028
"Leptotrichia",9.452263562
"Megasphaera",1.835312105
"Mogibacterium",0.872441422
"Moryella",0.816618393
"Neisseria",59.423747592
"Oribacterium",5.506507107
"Parvimonas",0.765368949
"Peptostreptococcus",0.96791592
"Porphyromonas",20.761208742
"Prevotella",56.754487019
"Rothia",621.3555162
"Selenomonas",2.023898326
"Streptococcus",2912.35022317
"Tannerella",0.423860775
"Veillonella",47.822230453
"Abiotrophia",12.01547461
"Aggregatibacter",0.282990084
"Bifidobacterium",0.201955355
"Butyrivibrio",0
"Cardiobacterium",0.086967726
"Corynebacterium",2.421963572
"Dialister",0.556208495
"Lautropia",6.373827906
"Paludibacter",0.296631939
"Scardovia",0.220842077
"Sharpea",0.093567252
"Staphylococcus",0.398741207
"Bacteroides",0.068330319
"Janthinobacterium",0
"Klebsiella",3.440351402
"Pyramidobacter",0
"Treponema",0.823494737
"Filifactor",0.257309942
"Moraxella",54.66040377
"Achromobacter",27.411517005
"Eikenella",0.037499312
"Mycoplasma",0.150990267
"Pseudomonas",280.410276754
"Schwartzia",0.068699993
"Acinetobacter",0
"Leuconostoc",0.172322375
"Propionibacterium",0
"Burkholderia",0.113812103
"Lactobacillus",2.391737258
"Chryseobacterium",0
"Kingella",0.114389899
"Nocardia",0
"Alloscardovia",2.257203724
"Enterococcus",1.844023568
"Proteus",14.95707185
"Nesterenkonia",0.219542133
"Tetrasphaera",0
"Peptococcus",0.023391813
"TG5",0.091293757
"Odoribacter",0.025980774
"Geobacillus",0
"Mycobacterium",0
"Stenotrophomonas",0
"Trabulsiella",0
"Bacillus",0
"Lactococcus",0.013255567
"Pediococcus",0
"Pseudoramibacter_Eubacterium",0.025980774
"Serratia",0
"Slackia",0.025980774
"Peptoniphilus",0.012277471
"Agrobacterium",0
"Elizabethkingia",0
"Sphaerochaeta",0
"Sphingomonas",0
"Mobiluncus",0
"Bilophila",0
"Enhydrobacter",0.012990387
"Alloiococcus",0.024554942
"Desulfovibrio",0.038971161
"Avibacterium",0
"Trichococcus",0.036447576
"SHD.231",0.025980774
"Anaerovorax",0
"Morganella",0
"Rhodococcus",0
"Micrococcus",0
"Phycicoccus",0
"Dermabacter",0
"Finegoldia",0.034871235
"Sneathia",0
"Desulfobulbus",0.019327406
"Streptomyces",0
"Halomonas",0.24258915
"Shewanella",0.248665774
"Dermacoccus",0.024298384
"Actinobaculum",0.122774708
"Microbacterium",0
"BE24",0
"Cellulomonas",0.093567252
"Streptobacillus",0
"Anaerococcus",0
"Bradyrhizobium",0.025980774
"Roseomonas",0.022593764
"Afipia",0
"Gluconacetobacter",0
"Pasteurella",0.045187528
"Gardnerella",0.046783626
"Comamonas",0
"Erwinia",0.079533404
"Sphingobacterium",0
"Wautersiella",0
"Deinococcus",0
"Gordonia",0
"Kurthia",0
"Propionivibrio",0
"Vagococcus",0
"Brevibacterium",0
"Brochothrix",0
"Acholeplasma",0
"Anoxybacillus",0
"Candidatus_Tammella",0
"Novosphingobium",0
"Sphingobium",0
"Syntrophomonas",0
"Plesiomonas",0
"Cryocola",0
"Ralstonia",0
"Abundisporus",0
