"","x"
"Actinobacillus",317.50016117
"Actinomyces",616.581753981
"Atopobium",39.844178045
"Bulleidia",32.674427502
"Campylobacter",35.624744329
"Capnocytophaga",86.907189051
"Catonella",6.207901534
"Fusobacterium",182.719580339
"Gemella",443.09567288
"Granulicatella",253.093947171
"Haemophilus",2274.062859585
"Leptotrichia",208.460627948
"Megasphaera",18.200226526
"Mogibacterium",13.060257625
"Moryella",21.318585998
"Neisseria",1185.210512283
"Oribacterium",22.654408285
"Parvimonas",20.639192633
"Peptostreptococcus",30.670305103
"Porphyromonas",390.774777729
"Prevotella",1067.05614812
"Rothia",1946.696943423
"Selenomonas",40.861279521
"Streptococcus",3575.019782493
"Tannerella",20.147769734
"Veillonella",871.486075004
"Abiotrophia",65.587306959
"Aggregatibacter",37.229016513
"Bifidobacterium",16.01698243
"Butyrivibrio",2.148106041
"Cardiobacterium",7.254101224
"Corynebacterium",186.649307932
"Dialister",17.671920776
"Lautropia",51.183415076
"Paludibacter",8.402505171
"Scardovia",9.557742509
"Sharpea",1.317299549
"Staphylococcus",182.035774625
"Bacteroides",1.074571356
"Janthinobacterium",0.922203143
"Klebsiella",522.78316521
"Pyramidobacter",0.647257701
"Treponema",34.948851378
"Filifactor",6.707070681
"Moraxella",299.223548877
"Achromobacter",45.930659539
"Eikenella",4.132918242
"Mycoplasma",12.945984848
"Pseudomonas",1087.57685337
"Schwartzia",3.212934075
"Acinetobacter",102.976072579
"Leuconostoc",1.177882534
"Propionibacterium",2.288494468
"Burkholderia",7.382926912
"Lactobacillus",124.50841077
"Chryseobacterium",1.287511504
"Kingella",5.101310589
"Nocardia",33.500281573
"Alloscardovia",3.979551761
"Enterococcus",9.114744115
"Proteus",20.903069259
"Nesterenkonia",1.28232808
"Tetrasphaera",0.388979885
"Peptococcus",1.572449809
"TG5",6.887049544
"Odoribacter",0.693989787
"Geobacillus",0.098299004
"Mycobacterium",0.599408353
"Stenotrophomonas",17.245661765
"Trabulsiella",2.95068365
"Bacillus",0.131822614
"Lactococcus",1.393249563
"Pediococcus",0.041858821
"Pseudoramibacter_Eubacterium",0.196680576
"Serratia",0.610478613
"Slackia",0.753196817
"Peptoniphilus",0.306399147
"Agrobacterium",0.03596691
"Elizabethkingia",0.103261932
"Sphaerochaeta",3.145615181
"Sphingomonas",0.143374303
"Mobiluncus",0.093560353
"Bilophila",0.332125604
"Enhydrobacter",0.0993742
"Alloiococcus",1.145375402
"Desulfovibrio",0.144035616
"Avibacterium",0.089365505
"Trichococcus",0.059577003
"SHD.231",0.223812638
"Anaerovorax",0.605587871
"Morganella",0.14495348
"Rhodococcus",0.155694598
"Micrococcus",0
"Phycicoccus",0.778054175
"Dermabacter",0.405440753
"Finegoldia",0.043015189
"Sneathia",0.285442436
"Desulfobulbus",0.408345128
"Streptomyces",0.547372823
"Halomonas",4.767911149
"Shewanella",8.07964251
"Dermacoccus",0
"Actinobaculum",0
"Microbacterium",0
"BE24",0
"Cellulomonas",0.226533236
"Streptobacillus",0
"Anaerococcus",0
"Bradyrhizobium",0.34575427
"Roseomonas",0.016843524
"Afipia",0.088683931
"Gluconacetobacter",0.517943026
"Pasteurella",0
"Gardnerella",0.012790995
"Comamonas",0.08291874
"Erwinia",0.580431177
"Sphingobacterium",0.187671915
"Wautersiella",0.798742962
"Deinococcus",0.061124694
"Gordonia",0.122249389
"Kurthia",0
"Propionivibrio",0.029137786
"Vagococcus",0.032087277
"Brevibacterium",0
"Brochothrix",0.016966407
"Acholeplasma",0.039282441
"Anoxybacillus",0.052376588
"Candidatus_Tammella",0.432106848
"Novosphingobium",0.026188294
"Sphingobium",0.136417879
"Syntrophomonas",0.104753175
"Plesiomonas",0.049350222
"Cryocola",0.035473572
"Ralstonia",0.40794608
"Abundisporus",0.028985516
