"","x"
"1",2
"2",2
"3",2
"4",1
"5",1
"6",2
"7",2
"8",2
"9",2
"10",2
"11",2
"12",2
"13",2
"14",1
"15",2
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",1
"30",1
"31",2
"32",2
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",2
"67",2
"68",2
"69",2
"70",2
"71",1
"72",2
"73",2
"74",2
"75",2
"76",2
"77",2
"78",1
"79",2
"80",2
"81",2
"82",1
"83",2
"84",1
"85",1
"86",1
"87",1
"88",1
"89",2
"90",1
"91",1
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",1
"101",2
"102",2
"103",1
"104",1
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",1
"112",2
"113",2
"114",1
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",2
"134",1
"135",1
"136",2
"137",2
"138",2
"139",2
"140",2
"141",2
"142",2
"143",2
"144",2
"145",2
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",1
"157",2
"158",2
"159",2
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",1
"171",1
"172",1
"173",2
"174",2
"175",2
"176",2
"177",1
"178",2
"179",1
"180",2
"181",2
"182",1
"183",2
"184",2
"185",2
"186",2
"187",2
"188",1
"189",2
"190",2
"191",2
"192",2
"193",2
"194",1
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",1
"210",2
"211",2
"212",2
"213",2
"214",2
"215",1
"216",2
"217",1
"218",2
"219",2
"220",2
"221",2
"222",1
"223",2
"224",2
"225",2
"226",2
"227",2
"228",2
"229",2
