"","x"
"1",4
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",5
"9",4
"10",1
"11",2
"12",1
"13",1
"14",1
"15",1
"16",1
"17",4
"18",4
"19",4
"20",4
"21",4
"22",3
"23",4
"24",1
"25",3
"26",2
"27",4
"28",3
"29",1
"30",3
"31",1
"32",1
"33",1
"34",1
"35",4
"36",2
"37",2
"38",4
"39",4
"40",4
"41",2
"42",4
"43",4
"44",3
"45",3
"46",5
"47",4
"48",4
"49",4
"50",4
"51",2
"52",2
"53",4
"54",3
"55",2
"56",5
"57",2
"58",5
"59",2
"60",1
"61",5
"62",3
"63",4
"64",2
"65",2
"66",2
"67",5
"68",2
"69",4
"70",4
"71",1
"72",2
"73",1
"74",3
"75",1
"76",1
"77",1
"78",1
"79",1
"80",5
"81",3
"82",3
"83",4
"84",2
"85",4
"86",5
"87",2
"88",2
"89",2
"90",1
"91",1
"92",3
"93",2
"94",4
"95",4
"96",5
"97",5
"98",1
"99",1
"100",2
"101",1
"102",4
"103",2
"104",5
"105",4
"106",4
"107",2
"108",2
"109",4
"110",2
"111",5
"112",1
"113",1
"114",1
"115",1
"116",5
"117",5
"118",1
"119",2
"120",1
"121",1
"122",2
"123",2
"124",5
"125",2
"126",2
"127",2
"128",2
"129",3
"130",4
"131",3
"132",2
"133",3
"134",4
"135",3
"136",3
"137",3
"138",1
"139",5
"140",4
"141",5
"142",4
"143",2
"144",5
"145",2
"146",4
"147",3
"148",2
"149",2
"150",4
"151",2
"152",1
"153",1
"154",1
"155",2
"156",2
"157",3
"158",1
"159",2
"160",2
"161",4
"162",3
"163",2
"164",2
"165",1
"166",4
"167",2
"168",4
"169",5
"170",3
"171",1
"172",4
"173",4
"174",4
"175",3
"176",2
"177",2
"178",5
"179",2
"180",4
"181",4
"182",2
"183",4
"184",5
"185",3
"186",1
"187",4
"188",4
"189",4
"190",2
"191",5
"192",1
"193",2
"194",4
"195",3
"196",4
"197",3
"198",4
"199",3
"200",4
"201",5
"202",4
