Actinobacillus,Actinomyces,Atopobium,Bulleidia,Campylobacter,Capnocytophaga,Catonella,Fusobacterium,Gemella,Granulicatella,Haemophilus,Leptotrichia,Megasphaera,Mogibacterium,Moryella,Neisseria,Oribacterium,Parvimonas,Peptostreptococcus,Porphyromonas,Prevotella,Rothia,Selenomonas,Streptococcus,Tannerella,Veillonella,Abiotrophia,Aggregatibacter,Bifidobacterium,Butyrivibrio,Cardiobacterium,Corynebacterium,Dialister,Lautropia,Paludibacter,Scardovia,Sharpea,Staphylococcus,Bacteroides,Janthinobacterium,Klebsiella,Pyramidobacter,Treponema,Filifactor,Moraxella,Achromobacter,Eikenella,Mycoplasma,Pseudomonas,Schwartzia,Acinetobacter,Leuconostoc,Propionibacterium,Burkholderia,Lactobacillus,Chryseobacterium,Kingella,Nocardia,Alloscardovia,Enterococcus,Proteus,Nesterenkonia,Tetrasphaera,Peptococcus,TG5,Odoribacter,Geobacillus,Mycobacterium,Stenotrophomonas,Trabulsiella,Bacillus,Lactococcus,Pediococcus,Pseudoramibacter_Eubacterium,Serratia,Slackia,Peptoniphilus,Agrobacterium,Elizabethkingia,Sphaerochaeta,Sphingomonas,Mobiluncus,Bilophila,Enhydrobacter,Alloiococcus,Desulfovibrio,Avibacterium,Trichococcus,SHD-231,Anaerovorax,Morganella,Rhodococcus,Micrococcus,Phycicoccus,Dermabacter,Finegoldia,Sneathia,Desulfobulbus,Streptomyces,Halomonas,Shewanella,Dermacoccus,Actinobaculum,Microbacterium,BE24,Cellulomonas,Streptobacillus,Anaerococcus,Bradyrhizobium,Roseomonas,Afipia,Gluconacetobacter,Pasteurella,Gardnerella,Comamonas,Erwinia,Sphingobacterium,Wautersiella,Deinococcus,Gordonia,Kurthia,Propionivibrio,Vagococcus,Brevibacterium,Brochothrix,Acholeplasma,Anoxybacillus,Candidatus_Tammella,Novosphingobium,Sphingobium,Syntrophomonas,Plesiomonas,Cryocola,Ralstonia
0,2.92543,0.076482,0.01912,0.038241,0.057361,0,0.095602,1.548757,0,70.382409,0.573614,0,0.095602,0.038241,2.715105,0.01912,0,0,1.032505,2.256214,4.99044,0.038241,10.994264,0,1.434034,0,0,0,0,0,0.01912,0,0.038241,0,0,0,0,0,0,0,0,0,0,0.305927,0,0,0,0.076482,0,0,0,0,0,0,0,0,0,0,0.01912,0,0,0,0,0,0,0,0,0.191205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.875863,1.296951,0.016844,0,0.084218,0.656897,0,0.437932,3.385548,3.116052,11.200943,0.808489,0.050531,0,0,39.700185,0.774802,0,0,1.313795,0.101061,1.229577,0.875863,21.003874,0.067374,0.505306,0.067374,0,0.016844,0,0,0.033687,0,8.876537,0,0,0,0,0,0,0.101061,0,0,0,0.33687,0,1.010611,0,0.707428,0,0,0,0.016844,0.084218,0.269496,0,0.57268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185279,0.185279,0,0,0,0,0,0,0,0,0.016844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.069686,0.058072,0.058072,0,0,0,0.069686,0,0.406504,93.728223,0.023229,0.011614,0.023229,0.011614,0.034843,0,0.034843,0.046458,0.023229,0.10453,0.162602,0.046458,4.297329,0,0.058072,0,0,0,0,0,0,0.069686,0,0,0,0,0,0,0,0,0,0.046458,0,0.615563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,47.07,0,0,0,0,0,0,0,0,0,0,12.49,0,40.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.039767,0.013256,0,0.039767,0.80859,0,0.053022,0.013256,0.066278,0.291622,1.193001,0,0,0,6.78685,0,0,0,2.293213,1.365323,0.344645,0.013256,79.056204,0,3.022269,0.3579,0,0,0,0,0,0,3.724814,0,0.026511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172322,0,0,0.225345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.385699,0.044504,0.014835,0.044504,0.267023,0.014835,0.178015,2.00267,1.483459,72.837858,0.178015,0.014835,0,0.089008,0.252188,0.074173,0.341196,0,0.415369,1.438956,2.329031,0.044504,15.487316,0.014835,1.186768,0.222519,0,0.014835,0,0.014835,0.029669,0.014835,0.074173,0.014835,0,0,0,0,0,0,0,0,0.044504,0.118677,0,0,0.014835,0.059338,0,0,0,0,0,0.103842,0,0.014835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118677,0.014835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1554,0.699301,0,0.1554,0,0.3885,0,0.854701,16.550117,5.205905,3.030303,0.621601,0,0,0.0777,17.327117,0.0777,0,0,1.787102,4.351204,18.181818,0,28.826729,0,1.476301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.512503,0.515597,0.02578,0,0.05156,0.618716,0,3.067801,13.121939,1.314772,8.816705,0.335138,0.02578,0,0,5.955143,0,0.07734,0,12.142305,2.681103,7.347254,0,11.858726,0.180459,0.618716,0,1.67569,0,0,0,0.232019,0,0.02578,0,0,0,0,0,0,0,0.05156,0,0,0,0,0.489817,0.206239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0658,1.299556,0.838954,0.690903,0.740253,2.25366,0.115151,6.399079,0,0.361902,8.521138,4.852772,0.0329,0.0658,0.279651,22.816253,0.493502,0.230301,0.411252,4.951472,11.696003,6.925481,0.921204,3.602566,0.115151,3.240665,0,0,0,0.08225,0,0.180951,0.0987,0,0.0329,0,0.01645,0,0.01645,0,0,0,0.148051,0.04935,0,0.01645,0,0,17.321928,0.01645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04935,0,0
1.11201,3.336029,0,0.060655,0.141529,4.488476,0.060655,4.630004,0,0.323494,4.731096,3.416903,0,0.020218,0.101092,31.621512,0.060655,0.323494,0.545896,10.250708,1.880307,14.071977,0.060655,15.750101,0,1.091791,0,0.181965,0,0,0,0,0.060655,0.020218,0.020218,0,0,0,0.040437,0,0,0,1.051355,0.12131,0,0,0.222402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101092,0.080873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
