Abundisporus,Acanthophysellum,Acephala,Acremonium,Alloconiothyrium,Alternaria,Amauroderma,Ampelomyces,Amphinema,Annulohypoxylon,Antrodia,Aporospora,Arthopyrenia,Arthrobotrys,Arthrocatena,Ascochyta,Ascosphaera,Aspergillus,Astrocystis,Aurantioporthe,Aureobasidium,Auricularia,Auriculariopsis,Auriscalpium,Baeospora,Balansia,Baudoinia,Beauveria,Beltraniella,Bjerkandera,Boeremia,Botryobasidium,Botrytis,Bullera,Bulleromyces,Byssochlamys,Byssomerulius,Cadophora,Calophoma,Calvatia,Camarosporium,Candida,Capronia,Catenulostroma,Ceratobasidium,Cercospora,Cercosporidium,Ceriporia,Ceriporiopsis,Chaetosphaeria,Chalastospora,Chlorencoelia,Chlorovibrissea,Choanephora,Ciboria,Cistella,Cladonia,Cladophialophora,Cladosporium,Clavispora,Clitocybe,Clitopilus,Clypeosphaeria,Colletotrichum,Coniophora,Coniosporium,Coniothyrium,Coprinellus,Coprinopsis,Coprinus,Cordyceps,Coriolopsis,Corticium,Cortinarius,Corynespora,Crinipellis,Crocicreas,Cryptococcus,Cryptodiscus,Ctenomyces,Curvularia,Cymatoderma,Cyphellophora,Cystofilobasidium,Dactylella,Daedaleopsis,Daldinia,Datronia,Debaryomyces,Deconica,Dentipellicula,Dentipellis,Devriesia,Diaporthe,Dichomitus,Didymella,Dinemasporium,Dioszegia,Diplomitoporus,Dipodascus,Dirkmeia,Dissoconium,Donkioporia,Dothistroma,Dumontinia,Earliella,Efibula,Elytroderma,Emericella,Encoelia,Entoloma,Entomocorticium,Epicoccum,Erythrobasidium,Eupenidiella,Eutypa,Eutypella,Exidia,Exophiala,Exserohilum,Fibroporia,Filobasidium,Flammulina,Flavodon,Flavomyces,Fomes,Fomitella,Fomitiporella,Fomitiporia,Fomitopsis,Fulvifomes,Funalia,Fusarium,Fuscoporia,Galerina,Ganoderma,Geastrum,Geosmithia,Gibberella,Glarea,Gloeocystidiellum,Gloeophyllum,Gloeoporus,Grammothele,Graphiopsis,Guehomyces,Gymnopilus,Gymnopus,Gyoerffyella,Gyrodontium,Hannaella,Hanseniaspora,Helgardia,Hemimycena,Heterobasidion,Heterochaete,Heterodermia,Heterophoma,Heterospora,Histoplasma,Holtermanniella,Hydnellum,Hydnochaete,Hygrophorus,Hymenochaete,Hymenoscyphus,Hyphoderma,Hyphodermella,Hyphodiscus,Hyphodontia,Hypholoma,Hypocenomyce,Hypochnicium,Hypoxylon,Ilyonectria,Inonotus,Irpex,Isaria,Issatchenkia,Itersonilia,Johnalcornia,Kabatiella,Kazachstania,Kendrickiella,Kluyveromyces,Kodamaea,Kuehneromyces,Laccaria,Lachnum,Lambertella,Lecanicillium,Lecanora,Lecanosticta,Lentinula,Lentinus,Leohumicola,Leptosphaeria,Leptospora,Leptosporomyces,Letendraea,Leucoagaricus,Leucosporidium,Lodderomyces,Lophiostoma,Lophodermium,Lycoperdon,Macrohyporia,Macroventuria,Magnusiomyces,Malassezia,Marasmius,Medicopsis,Megasporia,Megasporoporia,Meliniomyces,Melogramma,Metschnikowia,Meyerozyma,Microdiplodia,Microdochium,Microporus,Moellerodiscus,Mollisia,Monographella,Monticola,Mrakiella,Mucor,Mycopappus,Mycosphaerella,Myrmecridium,Myrothecium,Naganishia,Nemania,Neobulgaria,Neodeightoniella,Neofavolus,Neofomitella,Neokalmusia,Neophysalospora,Neostagonospora,Neurospora,Nigroporus,Oculimacula,Ophioceras,Oxyporus,Pachylepyrium,Palmiascoma,Paracamarosporium,Paraconiothyrium,Paraphoma,Parastagonospora,Passalora,Paxillus,Penicilliopsis,Penicillium,Penidiella,Peniophora,Peniophorella,Perenniporia,Perenniporiella,Periconia,Pestalotiopsis,Peyronellaea,Pezoloma,Phaeoacremonium,Phaeosphaeria,Phanerochaete,Phellinus,Phialemoniopsis,Phialemonium,Phlebia,Phlebiopsis,Phlebiporia,Pholiota,Phoma,Phyllosticta,Physalacria,Pichia,Pilatoporus,Pilidiella,Piloderma,Pithomyces,Plectosphaerella,Pleurotus,Plicaturopsis,Pneumocystis,Poculum,Polyporus,Polyscytalum,Porostereum,Preussia,Priceomyces,Psathyrella,Pseudallescheria,Pseudocercospora,Pseudogymnoascus,Pseudolagarobasidium,Pseudoramichloridium,Pseudoteratosphaeria,Pseudoveronaea,Pseudozyma,Psilocybe,Purpureocillium,Pyrenochaeta,Pyrenopeziza,Pyrenophora,Pyrenula,Rachicladosporium,Ramichloridium,Ramularia,Rasamsonia,Resinicium,Resupinatus,Rhexocercosporidium,Rhinocladiella,Rhodosporidium,Rhodotorula,Rhynchosporium,Rigidoporus,Rutstroemia,Saccharomyces,Sagenomella,Sarcodon,Sarcostroma,Sarocladium,Scedosporium,Scheffersomyces,Schizophyllum,Schizopora,Schwanniomyces,Scleromitrula,Sclerotinia,Scopuloides,Sebacina,Selenophoma,Sepedonium,Septoria,Setophaeosphaeria,Shiraia,Sidera,Simplicillium,Sistotrema,Sistotremastrum,Skeletocutis,Sporobolomyces,Stachybotrys,Stagonosporopsis,Stemphylium,Stereum,Sterigmatomyces,Stomiopeltis,Streptobotrys,Subplenodomus,Subulicystidium,Talaromyces,Teratosphaeria,Termitomyces,Thamnidium,Thanatephorus,Thelephora,Theleporus,Thermomyces,Tinctoporellus,Tomentella,Toxicocladosporium,Trametes,Trechispora,Trematosphaeria,Trichoderma,Trichophyton,Trichosporon,Trimmatostroma,Trimmatothelopsis,Triplosphaeria,Tropicoporus,Tubaria,Tylospora,Udeniomyces,Umbilicaria,Uncispora,unidentified,Valdensinia,Venturia,Veronaea,Verrucisporota,Verrucoconiothyrium,Verticillium,Volutella,Volvariella,Vuilleminia,Waitea,Wallemia,Wickerhamomyces,Wrightoporia,Xenasmatella,Xenopolyscytalum,Xerochrysium,Xylaria,Xylodon,Yamadazyma,Yarrowia,Yuchengia,Zasmidium,Zygosaccharomyces,Zymoseptoria
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020529,0,0,0,0.000461,0,0,0,0,0,0,0,0,0,0,0.002653,0,0,0,0,0,0,0,0,99.155325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003345,0.000692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038405,0,0,0,0.004498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100683,0.038405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003575,0,0,0,0,0,0,0,0,0,0,0.019029,0,0,0.323961,0,0,0,0,0,0,0,0,0,0,0,0.000577,0,0,0,0,0,0.057088,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009473,0,0,0,0,0,0,0,0,95.097221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.734844,0.006599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001809,0,0,0,0,0,0,0,0,0.001171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.475232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001105,0.001547,0.0042,0,0,0,0,0,0,0,99.722227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003427,0.005306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003316,0.007737,0,0,0,0,0,0.000774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000663,0,0,0,0,0,0,0,0,0.077042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046093,0,0,0,0.007848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.925555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.548318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.202577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.090193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801718,0,0,0,0,0,0,0,0,0,0,0,0.730136,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.177308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000928,0,0,0,0,0,0,0,0,0,0.002063,0,0,0,0,0,0,0,0,0,0,0,32.796292,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.410508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638482,0,0,0,0,0,0,0,0,0.001615,0,0,0,0,0,0,0,0,0,0,0.006158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677043,0,0,0,0,0,0,0,0,0,0,0,0.002726,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.942792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007509,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.581119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.248845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.666865,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.299032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.085341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017564,0,0,0,0,0.007206,0.109435,0,0,0,0,0.028822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007206,0,0,0,0,0,0,0,0,0.059446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007206,0,0,0,0,0,0,0,0,0,0,0,0,0,88.128349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008133,0,0,0,0.002368,0,0.456687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012045,0,0,0,0,0.001647,0,0,0,0,0,0,0,0,0,0,0,0,0.002162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.750311,0,0,0,0,0,0,0,0.85006,0,0,0,0.068771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.978363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011427,0,0.002162,0,0,0,0,0,0.021208,0,0,0,0,0,0,0,0,0,40.733088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
