PatientID,Actinobacillus,Actinomyces,Atopobium,Bulleidia,Campylobacter,Capnocytophaga,Catonella,Fusobacterium,Gemella,Granulicatella,Haemophilus,Leptotrichia,Megasphaera,Mogibacterium,Moryella,Neisseria,Oribacterium,Parvimonas,Peptostreptococcus,Porphyromonas,Prevotella,Rothia,Selenomonas,Streptococcus,Tannerella,Veillonella,Abiotrophia,Aggregatibacter,Bifidobacterium,Butyrivibrio,Cardiobacterium,Corynebacterium,Dialister,Lautropia,Paludibacter,Scardovia,Sharpea,Staphylococcus,Bacteroides,Janthinobacterium,Klebsiella,Pyramidobacter,Treponema,Filifactor,Moraxella,Achromobacter,Eikenella,Mycoplasma,Pseudomonas,Schwartzia,Acinetobacter,Leuconostoc,Propionibacterium,Burkholderia,Lactobacillus,Chryseobacterium,Kingella,Nocardia,Alloscardovia,Enterococcus,Proteus,Nesterenkonia,Tetrasphaera,Peptococcus,TG5,Odoribacter,Geobacillus,Mycobacterium,Stenotrophomonas,Trabulsiella,Bacillus,Lactococcus,Pediococcus,Pseudoramibacter_Eubacterium,Serratia,Slackia,Peptoniphilus,Agrobacterium,Elizabethkingia,Sphaerochaeta,Sphingomonas,Mobiluncus,Bilophila,Enhydrobacter,Alloiococcus,Desulfovibrio,Avibacterium,Trichococcus,SHD-231,Anaerovorax,Morganella,Rhodococcus,Micrococcus,Phycicoccus,Dermabacter,Finegoldia,Sneathia,Desulfobulbus,Streptomyces,Halomonas,Shewanella,Dermacoccus,Actinobaculum,Microbacterium,BE24,Cellulomonas,Streptobacillus,Anaerococcus,Bradyrhizobium,Roseomonas,Afipia,Gluconacetobacter,Pasteurella,Gardnerella,Comamonas,Erwinia,Sphingobacterium,Wautersiella,Deinococcus,Gordonia,Kurthia,Propionivibrio,Vagococcus,Brevibacterium,Brochothrix,Acholeplasma,Anoxybacillus,Candidatus_Tammella,Novosphingobium,Sphingobium,Syntrophomonas,Plesiomonas,Cryocola,Ralstonia
TT0040,0.155400155,0.699300699,0,0.155400155,0,0.388500389,0,0.854700855,16.55011655,5.205905206,3.03030303,0.621600622,0,0,0.077700078,17.32711733,0.077700078,0,0,1.787101787,4.351204351,18.18181818,0,28.82672883,0,1.476301476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233100233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0041,28.51250322,0.515596803,0.02577984,0,0.05155968,0.618716164,0,3.06780098,13.12193864,1.314771848,8.816705336,0.335137922,0.02577984,0,0,5.955143078,0,0.077339521,0,12.14230472,2.681103377,7.347254447,0,11.85872648,0.180458881,0.618716164,0,1.675689611,0,0,0,0.232018562,0,0.02577984,0,0,0,0,0,0,0,0.05155968,0,0,0,0,0.489816963,0.206238721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02577984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0046,0.065800296,1.299555848,0.838953775,0.690903109,0.740253331,2.253660142,0.115150518,6.399078796,0,0.361901629,8.521138345,4.852771838,0.032900148,0.065800296,0.279651258,22.81625267,0.493502221,0.230301036,0.411251851,4.951472282,11.69600263,6.925481165,0.921204145,3.602566212,0.115150518,3.240664583,0,0,0,0.08225037,0,0.180950814,0.098700444,0,0.032900148,0,0.016450074,0,0.016450074,0,0,0,0.148050666,0.049350222,0,0.016450074,0,0,17.32192795,0.016450074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032900148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032900148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049350222,0,0
TT0047,1.112009705,3.336029114,0,0.060655075,0.141528508,4.488475536,0.060655075,4.630004044,0,0.323493732,4.731095835,3.416902548,0,0.020218358,0.101091791,31.62151233,0.060655075,0.323493732,0.545895673,10.25070764,1.880307319,14.07197736,0.060655075,15.75010109,0,1.091791347,0,0.181965224,0,0,0,0,0.060655075,0.020218358,0.020218358,0,0,0,0.040436717,0,0,0,1.05135463,0.12131015,0,0,0.222401941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101091791,0.080873433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0044,3.603603604,2.217602218,0.069300069,0.485100485,0.207900208,1.03950104,0.138600139,1.455301455,0,3.603603604,12.88981289,1.178101178,0,0.069300069,0.069300069,9.494109494,0.485100485,0.207900208,0.485100485,2.702702703,11.85031185,5.544005544,0,21.76022176,0,3.049203049,0.138600139,0.138600139,0,0.069300069,0,0.623700624,0,0.554400554,0,0,0,0,0,0,0,0,0.069300069,0,0,0.138600139,0,0,15.66181566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069300069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069300069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0045,0,0.650128315,0.01710864,0.085543199,0.01710864,0.496150556,0,1.026518392,0,1.505560308,5.919589393,0.376390077,0,0,0,31.39435415,0.222412318,0,0.01710864,1.180496151,6.005132592,4.362703165,0,4.414029085,0,2.087254063,0,0,0,0,0.427715997,0.102651839,0,0.444824636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.26432849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0014,0,0.194986072,0.236768802,0,0,0,0,0,0,0.348189415,0,0,0,0,0,0,0,0,0,0,17.45125348,0,0.571030641,0.04178273,0,0,0,0,0,0,0,61.04456825,0,0,0,0,0,2.78551532,0,0,15.15320334,0,0,0,0,0.08356546,0.08356546,0.04178273,0,0,0.194986072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.768802228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT0048,0,2.578018996,0.290754022,0.174452413,0.174452413,0.65904245,0.038767203,0.736576856,0,0,3.605349874,2.771855011,0,0.058150804,0.329521225,18.4144214,0.542740841,0,0,0.213219616,29.85074627,7.482070169,0.13568521,23.18278736,0.058150804,6.415972088,0,0,0,0,0,0.193836015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193836015,0,0,0.096918007,0,0,0,0,0,1.608838922,0,0,0,0.038767203,0,0,0,0,0,0,0,0,0.174452413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0005,4.175872735,3.490941229,0.243040212,0,0.088378259,0.088378259,0,0.530269554,4.66195316,0.154661953,1.502430402,1.458241273,0.088378259,0.022094565,0.04418913,39.57136544,0.022094565,0.088378259,0,0.309323906,7.224922669,8.661069377,0.066283694,24.32611578,0,1.325673884,1.347768449,0,0,0,0.066283694,0.154661953,0.04418913,0.110472824,0,0.022094565,0,0.066283694,0,0,0,0,0.022094565,0,0.022094565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0004,0,2.141404474,0.011963154,0,0,0,0,0,0,0.035889461,0,0,0.011963154,0,0,0,0,0,0,0,7.776049767,3.899988037,0,73.47768872,0,6.220839813,0,0,0,0,0,0.011963154,0,0.023926307,0,0.023926307,0,0,0,0,0,0,0,0,0,0.071778921,0,0,3.206125135,0,0,0,0,0,3.098456753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
