PatientID,Actinobacillus,Actinomyces,Atopobium,Bulleidia,Campylobacter,Capnocytophaga,Catonella,Fusobacterium,Gemella,Granulicatella,Haemophilus,Leptotrichia,Megasphaera,Mogibacterium,Moryella,Neisseria,Oribacterium,Parvimonas,Peptostreptococcus,Porphyromonas,Prevotella,Rothia,Selenomonas,Streptococcus,Tannerella,Veillonella,Abiotrophia,Aggregatibacter,Bifidobacterium,Butyrivibrio,Cardiobacterium,Corynebacterium,Dialister,Lautropia,Paludibacter,Scardovia,Sharpea,Staphylococcus,Bacteroides,Janthinobacterium,Klebsiella,Pyramidobacter,Treponema,Filifactor,Moraxella,Achromobacter,Eikenella,Mycoplasma,Pseudomonas,Schwartzia,Acinetobacter,Leuconostoc,Propionibacterium,Burkholderia,Lactobacillus,Chryseobacterium,Kingella,Nocardia,Alloscardovia,Enterococcus,Proteus,Nesterenkonia,Tetrasphaera,Peptococcus,TG5,Odoribacter,Geobacillus,Mycobacterium,Stenotrophomonas,Trabulsiella,Bacillus,Lactococcus,Pediococcus,Pseudoramibacter_Eubacterium,Serratia,Slackia,Peptoniphilus,Agrobacterium,Elizabethkingia,Sphaerochaeta,Sphingomonas,Mobiluncus,Bilophila,Enhydrobacter,Alloiococcus,Desulfovibrio,Avibacterium,Trichococcus,SHD-231,Anaerovorax,Morganella,Rhodococcus,Micrococcus,Phycicoccus,Dermabacter,Finegoldia,Sneathia,Desulfobulbus,Streptomyces,Halomonas,Shewanella,Dermacoccus,Actinobaculum,Microbacterium,BE24,Cellulomonas,Streptobacillus,Anaerococcus,Bradyrhizobium,Roseomonas,Afipia,Gluconacetobacter,Pasteurella,Gardnerella,Comamonas,Erwinia,Sphingobacterium,Wautersiella,Deinococcus,Gordonia,Kurthia,Propionivibrio,Vagococcus,Brevibacterium,Brochothrix,Acholeplasma,Anoxybacillus,Candidatus_Tammella,Novosphingobium,Sphingobium,Syntrophomonas,Plesiomonas,Cryocola,Ralstonia
DU0045,0,2.92543021,0.076481836,0.019120459,0.038240918,0.057361377,0,0.095602295,1.54875717,0,70.38240918,0.573613767,0,0.095602295,0.038240918,2.715105163,0.019120459,0,0,1.03250478,2.256214149,4.990439771,0.038240918,10.99426386,0,1.434034417,0,0,0,0,0,0.019120459,0,0.038240918,0,0,0,0,0,0,0,0,0,0,0.305927342,0,0,0,0.076481836,0,0,0,0,0,0,0,0,0,0,0.019120459,0,0,0,0,0,0,0,0,0.191204589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0028,0.875863231,1.296951322,0.016843524,0,0.084217618,0.656897423,0,0.437931615,3.385548257,3.116051878,11.20094324,0.808489136,0.050530571,0,0,39.70018528,0.774802089,0,0,1.313794846,0.101061142,1.229577228,0.875863231,21.00387401,0.067374095,0.50530571,0.067374095,0,0.016843524,0,0,0.033687047,0,8.876536972,0,0,0,0,0,0,0.101061142,0,0,0,0.336870473,0,1.01061142,0,0.707427994,0,0,0,0.016843524,0.084217618,0.269496379,0,0.572679805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18527876,0.18527876,0,0,0,0,0,0,0,0,0.016843524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0044,0,0.069686411,0.058072009,0.058072009,0,0,0,0.069686411,0,0.406504065,93.728223,0.023228804,0.011614402,0.023228804,0.011614402,0.034843206,0,0.034843206,0.046457607,0.023228804,0.104529617,0.162601626,0.046457607,4.297328688,0,0.058072009,0,0,0,0,0,0,0.069686411,0,0,0,0,0,0,0,0,0,0.046457607,0,0.615563299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0077,0,0,0,0,0,0,0,0,0,0,47.07,0,0,0,0,0,0,0,0,0,0,12.49,0,40.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0098,0,0.039766702,0.013255567,0,0.039766702,0.808589608,0,0.053022269,0.013255567,0.066277837,0.291622481,1.19300106,0,0,0,6.786850477,0,0,0,2.29321315,1.365323436,0.344644751,0.013255567,79.05620361,0,3.022269353,0.357900318,0,0,0,0,0,0,3.724814422,0,0.026511135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172322375,0,0,0.225344645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013255567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079533404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0099,0,0.385699451,0.044503783,0.014834594,0.044503783,0.267022697,0.014834594,0.178015131,2.002670227,1.483459427,72.83785788,0.178015131,0.014834594,0,0.089007566,0.252188103,0.074172971,0.341195668,0,0.41536864,1.438955645,2.329031301,0.044503783,15.48731642,0.014834594,1.186767542,0.222518914,0,0.014834594,0,0.014834594,0.029669189,0.014834594,0.074172971,0.014834594,0,0,0,0,0,0,0,0,0.044503783,0.118676754,0,0,0.014834594,0.059338377,0,0,0,0,0,0.10384216,0,0.014834594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118676754,0.014834594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0091,0,0,0,0,0,0,0,0,0,0,45.92856165,0,0,0,0,0,0,0,0,0,0,0,0,54.07143835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0093,0,0,0,0,0,0,0,0,0,0,38.12380345,0,0,0,0,0,0,0,0,0,0,18.25143586,0,43.62476069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0094,0,0,0,0,0,0,0,0,0,1.91471745,34.30966674,0,0,0,0,0,0,0,0,0,0,19.94411095,0,43.84185469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0095,0,0,0,0,0,0,0,0,0,0,16.28,0,0,0,0,0,0,0,0,0,0,10.78,0,72.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0096,0,0,0,0,0,0,0,0,0,10.43,27.7,0,0,0,0,0,0,0,0,0,0,6.17,0,55.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
